tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0406106,Nozomi Witches,Nozomi. Witchiizu,1990,100,['Romance']
tt0406067,El milagro de la virgen de San Juan,El milagro de la virgen de San Juan,1990,90,['Documentary']
tt0405975,El hombre de hielo,El hombre de hielo,1990,72,['Action']
tt0405889,Duelo de rufianes,Duelo de rufianes,1990,90,['Action']
tt0403411,Pido Dida: Sabay tayo,Pido Dida: Sabay tayo,1990,110,['Comedy']
tt0407729,El diablo quiere sexo,El diablo quiere sexo,1990,105,['Comedy']
tt0466976,A Search for Solid Ground: The Intifada Through Israeli Eyes,A Search for Solid Ground: The Intifada Through Israeli Eyes,1990,60,['Documentary']
tt0413887,Cartel de la droga,Cartel de la droga,1990,87,['Action']
tt0413939,De la cabeza al cielo,De la cabeza al cielo,1990,45,['Drama']
tt0416978,La metiche,La metiche,1990,100,['Comedy']
tt0416286,Venganza de policia,Venganza de policia,1990,90,['Action']
tt0416094,Oseam,Oseam,1990,115,['Drama']
tt0416045,La monja ensangrentada,La monja ensangrentada,1990,90,['Horror']
tt0415963,Maria Metralla,Maria Metralla,1990,90,['Drama']
tt0415907,Kahit singko ay di ko babayaran ang buhay mo,Kahit singko ay di ko babayaran ang buhay mo,1990,115,"['Action', 'Drama']"
tt0415761,Dos rateros de altura,Dos rateros de altura,1990,86,['Comedy']
tt0415742,Los demonios del desierto,Los demonios del desierto,1990,90,"['Horror', 'Thriller']"
tt0415715,Comrades in Arms,Comrades in Arms,1990,52,"['Documentary', 'War']"
tt0415700,Chacales de la frontera,Chacales de la frontera,1990,90,['Action']
tt0414997,Funerales del terror,Funerales del terror,1990,80,"['Horror', 'Thriller']"
tt0414960,Encajosa... pero cariñosa,Encajosa... pero cariñosa,1990,92,['Comedy']
tt0413917,Como burro manadero,Como burro manadero,1990,90,['Comedy']
tt0414945,Discriminación maldita,Discriminación maldita,1990,90,['Drama']
tt0414655,Vivir o morir,Vivir o morir,1990,90,['Drama']
tt0414585,La tercia de la muerte,La tercia de la muerte,1990,85,['Thriller']
tt0414450,Reto a la muerte,Reto a la muerte,1990,93,['Thriller']
tt0414449,Reportaje sangriento,Reportaje sangriento,1990,90,['Thriller']
tt0414332,Odio en la sangre,Odio en la sangre,1990,70,"['Action', 'Crime', 'Drama']"
tt0414321,No te la vas acabar,No te la vas acabar,1990,85,['Comedy']
tt0414289,Muertes violentas,Muertes violentas,1990,87,['Thriller']
tt0414255,Mala yerba nunca muere,Mala yerba nunca muere,1990,90,['Drama']
tt0414190,La justicia en sus manos,La justicia en sus manos,1990,81,['Action']
tt0413987,En la linea del fuego,En la linea del fuego,1990,94,['Drama']
tt0413968,Las dos caras de la muerte,Las dos caras de la muerte,1990,90,['Action']
tt0413943,"Demasiado peligroso... ja, ja, ja","Demasiado peligroso... ja, ja, ja",1990,80,['Comedy']
tt0414916,El contrabajo,El contrabajo,1990,47,['Drama']
tt0467842,Cocinando con Chepina,Cocinando con Chepina,1990,70,['Documentary']
tt0469510,The Survivors,Otzelelite,1990,275,['Documentary']
tt10611050,Zavalli,Zavalli,1990,80,"['Comedy', 'Drama']"
tt10592004,Golmaal Radhakrishna,Golmaal Radhakrishna,1990,131,['Comedy']
tt1058578,W srodku Europy,W srodku Europy,1990,85,['Drama']
tt10560782,Çilgin berber,Çilgin berber,1990,80,['Comedy']
tt10642356,Alev gibi bir kiz,Alev gibi bir kiz,1990,90,['Romance']
tt1045160,Forgotten Rules,Lupa Aturan Main,1990,77,"['Comedy', 'Crime']"
tt1042237,Apo tin alosi ston xesikomo,Apo tin alosi ston xesikomo,1990,80,['Documentary']
tt10388542,The Rain Women,The Rain Women,1990,72,"['Comedy', 'Drama']"
tt1037775,Lehmännahkatakki,Lehmännahkatakki,1990,59,['Drama']
tt10351044,Maxine Sullivan: Love to Be in Love,Maxine Sullivan: Love to Be in Love,1990,50,['Documentary']
tt10325590,Vi Dang Tình Yêu,Vi Dang Tình Yêu,1990,101,"['Drama', 'Romance']"
tt10298388,Main-Main Hantu,Main-Main Hantu,1990,88,"['Comedy', 'Horror', 'Mystery']"
tt1023138,Shadyantra,Shadyantra,1990,115,"['Action', 'Crime', 'Drama']"
tt10189646,Vaazhkai Chakkaram,Vaazhkai Chakkaram,1990,140,['Drama']
tt10171898,Oko cyklonu,Oko cyklonu,1990,86,['War']
tt10162934,Pathimoonam Number Veedu,Pathimoonam Number Veedu,1990,110,['Horror']
tt10162796,Pattanamthan Pogalaamadi,Pattanamthan Pogalaamadi,1990,120,['Drama']
tt10158248,Vaigasi Poranthachu,Vaigasi Poranthachu,1990,140,['Drama']
tt1043534,El-Raqesah wa el-Seyasi,El-Raqesah wa el-Seyasi,1990,97,['Drama']
tt1013582,Os Galegos,Os Galegos,1990,104,['Documentary']
tt0108544,An Eye for an Eye,Wai ngoh duk juen,1990,89,"['Action', 'Crime']"
tt1068633,Last Waltz in Sarajevo,Poslednji valcer u Sarajevu,1990,119,"['Comedy', 'Drama', 'History']"
