titleId,title,startYear,runtimeMinutes,genres,averageRating,numVotes,sum_pop_actor,main_Actor,nb_main_actor,id_main_actor,poster_path,popularity_movie
tt0101507,La loi de la rue,1991,112,"Crime,Drama",7.8,141191.0,34281,unpopolar,0.0,no_id_main_actor,/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg,59.757
tt0119081,Event Horizon: Le vaisseau de l'au-delà,1997,96,"Horror,Sci-Fi,Thriller",6.6,181041.0,121429,"Sam Neill, Joely Richardson",2.0,"nm0000554, nm0000613",/qfluaDXv0cIdLwgQWzNB2piHL2q.jpg,34.092
tt0119311,Truand,1997,130,"Crime,Drama",6.3,11637.0,120885,Tim Roth,1.0,nm0000619,/hZrwqVXLyxxsNJHVc6bJKSUDkXA.jpg,11.217
tt0100395,Bons baisers d'Hollywood,1990,101,"Comedy,Drama",6.7,18003.0,88925,unpopolar,0.0,no_id_main_actor,/uF7bO5UcenRgag0jpbVvKsGyfBK.jpg,6.378
tt0105414,Jeune femme cherche colocataire,1992,107,"Drama,Thriller",6.4,37900.0,63030,unpopolar,0.0,no_id_main_actor,/2NwRcrVNTMf5MnsL5z4A6Mj816N.jpg,11.753
tt0105415,Célibataires,1992,99,"Comedy,Drama,Music",6.7,30569.0,58292,unpopolar,0.0,no_id_main_actor,/cNM5YW9DgMv5vmLPE1uos1VCI2I.jpg,11.229
tt0109368,Camilla,1994,95,Drama,6.0,1003.0,56891,unpopolar,0.0,no_id_main_actor,/f4NLcrpkZxG966IKcTmOuZfY7uV.jpg,2.508
tt0120619,La rupture,1998,100,Thriller,5.0,1876.0,53566,unpopolar,0.0,no_id_main_actor,/5fqRduyOfSRaetYMABivGa0dZEV.jpg,3.555
tt0139414,Lac Placide,1999,82,"Action,Comedy,Horror",5.7,61854.0,133194,"Bill Pullman, Brendan Gleeson",2.0,"nm0000597, nm0322407",/35PRfKz5RlY385CeYyXPxIgLh3Z.jpg,18.186
tt0117603,Armées et dangereuses,1996,123,"Action,Crime,Drama",6.8,16650.0,47181,unpopolar,0.0,no_id_main_actor,/iacsGPAdtpLNiXeSFuLhLKPAsHS.jpg,12.641
tt0118750,Sept semaines d'attente,1997,79,"Comedy,Romance",5.4,9061.0,48252,Jamie Foxx,1.0,nm0004937,/1pQpHVm3AXIwbBUnwGEQ0q95E0L.jpg,14.911
tt0123324,Ménage à quatre,1998,116,"Biography,Drama,Music",6.3,4304.0,36140,unpopolar,0.0,no_id_main_actor,/tSj2g6VdJ2UXeWk9wRa19SsxRFg.jpg,3.76
tt0111280,Star trek: Générations,1994,118,"Action,Adventure,Mystery",6.6,82417.0,83806,"Patrick Stewart, Malcolm McDowell",2.0,"nm0001772, nm0000532",/rHsCYDGHFUarGh5k987b0EFU6kC.jpg,13.0
tt0117731,Star trek: Premier contact,1996,111,"Action,Adventure,Drama",7.6,125889.0,51271,Patrick Stewart,1.0,nm0001772,/vrC1lkTktFQ4AqBfqf4PXoDDLcw.jpg,17.294
tt0120844,Star Trek: Insurrection,1998,103,"Action,Adventure,Sci-Fi",6.4,75603.0,51271,Patrick Stewart,1.0,nm0001772,/xQCMAHeg5M9HpDIqanYbWdr4brB.jpg,16.246
tt0111094,Le dépisteur,1994,101,"Comedy,Drama,Sport",5.4,6516.0,87926,Dianne Wiest,1.0,nm0001848,/t6MEMKcUMJB259LZx45uR6c3nVc.jpg,9.15
tt0111732,Avec distinction,1994,101,"Comedy,Drama",6.7,14623.0,94475,Joe Pesci,1.0,nm0000582,/1ujlcckorVON0dO9qGYbvRwJy6j.jpg,9.25
tt0117104,Le bonheur à tout prix,1996,105,"Comedy,Drama,Romance",6.2,7868.0,56030,unpopolar,0.0,no_id_main_actor,/2JlRKnF6qQdCRKRWgXcgPUHMPGv.jpg,19.056
